id,temperature_c,humidity_pct,wind_speed_kmh,rainfall_last_day_mm,people_displaced,fire_last_year,fire_last_5_years,fire_ever,fire_occurred,trees_burned
95,26.2,38.3,52.8,2.94,0,No,Yes,Yes,No,NA
96,33.7,28.8,46.3,0.91,0,No,No,Yes,No,NA
97,15.7,74.5,11.6,13.22,0,No,Yes,Yes,No,NA
98,15.8,67.9,31.6,19.71,0,No,Yes,Yes,No,NA
99,43.0,24.9,76.0,0.1,154,No,No,Yes,Yes,4089
100,35.8,14.4,38.7,0.27,969,No,No,Yes,Yes,308
101,11.5,84.6,9.6,27.33,0,No,No,No,No,NA
102,38.8,28.6,46.3,0.88,327,No,Yes,Yes,Yes,1161
103,31.4,27.1,35.3,1.08,3,No,No,Yes,Yes,88
104,43.8,20.7,80.0,0.45,797,No,Yes,Yes,Yes,1175
105,21.3,77.6,21.2,7.56,0,No,No,No,No,NA
106,15.9,62.4,23.7,5.16,0,No,No,No,No,NA
107,25.3,53.3,44.1,2.43,0,No,No,No,No,NA
108,39.7,16.8,56.9,0.96,2699,No,No,Yes,Yes,6220
109,15.7,79.8,10.4,14.8,0,No,No,No,No,NA
110,37.6,26.4,106.4,0.11,62,No,Yes,Yes,Yes,7529
111,38.9,21.0,56.3,0.28,0,Yes,Yes,Yes,No,NA
112,13.4,71.3,30.1,19.35,0,No,No,No,No,NA
113,23.9,71.4,25.8,13.08,0,No,No,No,No,NA
114,22.2,43.9,23.3,3.22,0,No,No,No,No,NA
115,20.6,40.5,48.9,7.62,0,No,Yes,Yes,No,NA
116,32.7,13.7,89.3,0.39,723,No,No,Yes,Yes,4686
117,22.9,69.9,11.9,19.71,0,No,No,No,No,NA
118,16.1,76.7,8.3,8.45,0,No,No,No,No,NA
119,34.3,8.9,74.5,0.26,1680,No,Yes,Yes,Yes,1929
120,41.5,23.4,69.5,0.15,257,No,Yes,Yes,Yes,5174
121,28.9,16.6,64.3,0.13,1239,No,No,Yes,Yes,2042
122,34.1,23.6,71.7,0.23,1080,No,No,Yes,Yes,4504
123,25.7,34.1,36.6,0.29,58,No,No,Yes,Yes,412
124,25.9,21.9,56.9,1.62,0,No,No,No,No,NA
125,17.6,76.8,22.3,22.22,0,No,No,No,No,NA
126,44.6,18.2,51.1,0.29,877,No,No,Yes,Yes,680
127,37.5,26.1,100.7,0.97,3258,No,No,Yes,Yes,2350
128,30.4,15.5,95.7,0.92,2682,Yes,Yes,Yes,Yes,2372
129,32.5,24.3,41.0,0.68,6,No,No,Yes,Yes,2570
130,22.5,56.2,7.0,9.98,0,No,No,No,No,NA
131,25.0,40.1,24.6,1.29,10,No,No,Yes,Yes,655
132,18.7,24.1,62.8,3.07,0,No,Yes,Yes,No,NA
133,23.9,32.6,48.1,1.5,0,No,No,No,No,NA
134,29.0,34.8,41.8,0.92,140,No,Yes,Yes,Yes,1138
135,21.7,54.0,31.1,5.67,0,No,No,No,No,NA
136,27.4,31.8,46.2,0.79,76,Yes,Yes,Yes,Yes,454
137,23.5,54.2,37.6,1.61,43,Yes,Yes,Yes,Yes,251
138,33.6,26.3,63.2,1.36,0,No,No,No,No,NA
139,21.9,39.4,37.6,1.76,0,No,No,No,No,NA
140,37.7,17.0,54.5,0.46,138,Yes,Yes,Yes,Yes,5251
141,27.1,36.1,51.7,2.69,97,No,No,Yes,Yes,1392
142,37.9,21.8,80.2,0.49,1870,No,No,Yes,Yes,388
143,19.9,27.5,36.3,1.64,50,No,Yes,Yes,Yes,493
144,33.3,27.0,107.9,0.6,1726,No,Yes,Yes,Yes,5629
145,21.0,78.5,12.7,8.78,0,No,No,No,No,NA
146,12.9,76.8,25.3,3.4,0,No,No,No,No,NA
147,29.5,44.7,22.9,1.53,417,No,No,Yes,Yes,157
148,40.6,22.9,67.1,0.3,100,No,Yes,Yes,Yes,5912
149,26.8,39.8,30.5,2.64,0,No,No,No,No,NA
150,14.4,84.1,33.5,22.89,0,No,No,No,No,NA
151,29.8,29.2,36.3,1.53,0,No,No,No,No,NA
152,15.4,73.5,10.0,27.44,0,No,No,No,No,NA
153,32.1,30.3,26.2,0.17,660,No,Yes,Yes,Yes,753
154,29.3,43.3,28.9,3.3,0,Yes,Yes,Yes,No,NA
155,33.4,33.0,59.6,0.28,639,No,No,Yes,Yes,1596
156,43.8,8.3,42.9,0.07,75,No,No,Yes,Yes,2959
157,10.5,89.8,14.1,8.88,0,No,No,No,No,NA
158,40.2,17.8,73.1,0.15,690,No,Yes,Yes,Yes,1677
159,17.4,79.7,25.2,3.45,0,No,Yes,Yes,No,NA
160,36.6,9.1,44.5,0.33,488,No,Yes,Yes,Yes,505
161,39.8,24.6,47.3,0.27,1507,No,No,Yes,Yes,113
162,29.3,45.3,49.6,4.57,814,No,No,Yes,Yes,388
163,22.7,51.0,30.3,3.5,0,No,No,No,No,NA
164,29.7,44.9,32.4,7.43,0,No,No,No,No,NA
165,22.9,37.0,52.9,1.64,339,No,Yes,Yes,Yes,803
166,24.5,49.5,46.9,5.11,0,No,No,No,No,NA
167,33.0,18.8,51.8,0.4,57,No,No,Yes,Yes,695
168,27.4,32.9,38.1,1.9,11,No,Yes,Yes,Yes,739
169,24.0,48.0,23.7,1.35,0,No,No,No,No,NA
170,32.0,27.4,51.0,2.11,48,No,No,Yes,Yes,3989
171,29.5,38.0,42.3,0.18,0,No,No,No,No,NA
172,26.7,49.2,34.2,2.68,56,No,Yes,Yes,Yes,600
173,15.3,75.9,14.9,17.63,0,No,No,No,No,NA
174,13.3,82.1,12.0,11.76,0,No,No,No,No,NA
175,30.5,41.5,23.0,2.92,0,No,No,No,No,NA
176,15.4,81.9,33.4,17.08,0,No,No,No,No,NA
177,27.5,42.4,53.3,1.55,188,No,Yes,Yes,Yes,899
178,27.5,32.7,47.5,0.25,135,No,Yes,Yes,Yes,701
179,22.1,38.5,26.6,3.46,66,No,No,Yes,Yes,606
180,25.7,30.0,50.1,1.16,0,No,No,No,No,NA
181,25.3,26.5,22.4,1.32,0,No,No,Yes,No,NA
182,28.6,41.4,49.6,3.09,0,No,No,No,No,NA
183,17.6,68.0,24.0,8.88,0,No,No,No,No,NA
184,42.3,27.3,75.1,0.96,105,No,No,Yes,Yes,8271
185,16.7,82.0,24.9,4.98,0,No,No,No,No,NA
186,7.8,78.8,6.0,22.32,0,No,No,No,No,NA
187,31.4,15.2,44.3,0.27,364,No,Yes,Yes,Yes,81
188,31.0,20.1,95.9,0.28,0,No,Yes,Yes,No,NA
189,26.1,44.7,42.3,1.1,25,No,No,Yes,Yes,334
190,34.2,18.0,75.7,0.28,0,No,Yes,Yes,No,NA
191,37.7,20.1,80.6,0.49,471,Yes,Yes,Yes,Yes,1306
192,39.8,12.5,69.3,0.49,2042,Yes,Yes,Yes,Yes,3632
193,23.6,38.6,21.3,2.84,148,Yes,Yes,Yes,Yes,178
194,38.5,29.7,42.5,0.28,275,No,Yes,Yes,Yes,1427
195,25.5,48.5,45.4,5.61,0,No,Yes,Yes,No,NA
196,37.3,14.5,108.4,0.3,3890,No,Yes,Yes,Yes,2743
197,33.7,21.5,82.6,0.9,249,No,Yes,Yes,Yes,447
198,35.9,29.9,48.6,1.66,22,Yes,Yes,Yes,Yes,539
199,14.3,65.8,13.0,10.27,0,No,No,No,No,NA
200,15.1,68.8,28.2,9.32,0,No,No,No,No,NA
201,35.8,30.1,51.5,0.57,1226,No,No,Yes,Yes,1732
202,43.9,11.0,82.9,0.09,4422,No,No,Yes,Yes,3899
203,41.4,10.2,84.1,0.11,0,No,No,Yes,No,NA
204,17.2,82.2,14.0,14.09,0,No,No,No,No,NA
205,21.6,44.2,24.0,1.9,0,No,No,No,No,NA
206,26.1,23.9,49.4,2.55,0,No,No,No,No,NA
207,20.9,48.4,21.5,1.55,0,Yes,Yes,Yes,No,NA
208,42.4,16.0,93.4,0.01,626,No,No,Yes,Yes,360
209,21.2,82.2,33.1,18.19,0,No,No,No,No,NA
210,26.1,39.4,19.7,1.65,0,No,No,No,No,NA
211,29.7,43.3,50.3,2.41,0,No,No,No,No,NA
212,28.5,21.6,42.9,2.82,124,Yes,Yes,Yes,Yes,1606
213,28.5,43.8,38.8,5.88,0,No,No,No,No,NA
214,37.7,24.1,60.5,0.91,1597,No,Yes,Yes,Yes,3325
215,18.9,28.5,53.0,2.16,56,No,No,Yes,Yes,2068
216,22.7,79.5,21.1,9.57,0,No,No,No,No,NA
217,26.1,38.7,46.5,1.62,0,No,Yes,Yes,No,NA
218,13.3,84.5,35.0,19.64,0,No,No,No,No,NA
219,16.2,69.5,16.9,13.13,0,No,No,No,No,NA
220,25.3,33.2,50.7,1.87,0,No,Yes,Yes,No,NA
221,35.2,29.1,41.9,1.48,230,Yes,Yes,Yes,Yes,1281
222,21.8,32.0,51.9,1.28,67,No,Yes,Yes,Yes,397
223,21.3,65.7,17.4,19.5,0,No,No,No,No,NA
224,15.2,70.4,14.5,11.28,0,No,No,No,No,NA
225,8.9,87.7,21.1,37.02,0,No,No,No,No,NA
226,17.3,69.7,17.6,10.27,0,No,No,No,No,NA
227,20.9,49.5,21.7,2.51,0,No,No,No,No,NA
228,26.9,35.2,56.2,1.12,21,No,No,Yes,Yes,1543
229,32.5,35.1,65.7,1.39,0,Yes,Yes,Yes,No,NA
230,34.9,20.7,71.6,0.26,2305,Yes,Yes,Yes,Yes,5677
231,23.1,35.9,45.2,6.06,45,No,Yes,Yes,Yes,1103
232,28.0,30.0,51.2,2.74,125,No,No,Yes,Yes,3439
233,21.7,49.4,32.1,7.38,0,No,No,No,No,NA
234,38.8,22.3,34.5,0.41,52,Yes,Yes,Yes,Yes,959
235,32.5,27.4,66.7,1.23,346,Yes,Yes,Yes,Yes,1093
236,30.2,26.3,90.4,0.81,1308,Yes,Yes,Yes,Yes,585
237,40.3,11.6,107.6,0.46,464,No,No,Yes,Yes,4903
238,33.2,14.4,63.2,0.03,1321,No,Yes,Yes,Yes,3184
239,33.9,38.4,31.5,1.8,0,No,No,No,No,NA
240,30.6,11.5,105.5,0.9,1911,No,Yes,Yes,Yes,4268
241,32.2,31.0,42.6,1.7,0,No,No,No,No,NA
242,15.3,78.9,14.2,24.75,0,No,No,No,No,NA
243,20.5,43.7,44.4,3.05,0,No,No,No,No,NA
244,32.7,31.5,45.4,2.35,0,No,Yes,Yes,No,NA
245,21.8,71.5,7.1,13.14,0,No,No,No,No,NA
246,27.7,27.6,59.2,0.31,140,Yes,Yes,Yes,Yes,3168
247,26.9,29.0,47.7,0.82,155,Yes,Yes,Yes,Yes,1306
248,30.6,39.5,42.4,2.98,46,No,Yes,Yes,Yes,297
249,19.3,65.5,17.1,3.38,0,No,No,No,No,NA
250,35.1,18.9,44.3,0.61,0,No,No,Yes,No,NA
251,24.4,43.6,43.8,5.38,0,No,No,No,No,NA
252,29.4,24.0,37.6,3.86,0,No,No,Yes,No,NA
253,39.6,30.6,53.0,0.56,0,No,No,Yes,No,NA
254,12.7,83.6,18.6,24.25,0,No,No,No,No,NA
255,10.7,77.3,18.9,33.66,0,No,No,No,No,NA
256,29.7,21.1,50.1,0.31,877,No,Yes,Yes,Yes,2343
257,28.0,40.8,34.4,2.69,0,No,No,No,No,NA
258,26.1,25.0,53.2,0.33,0,No,No,No,No,NA
259,32.6,31.6,51.8,0.32,144,No,Yes,Yes,Yes,2400
260,37.3,26.8,60.0,0.69,330,No,Yes,Yes,Yes,2575
261,34.5,25.7,81.3,0.35,100,No,No,Yes,Yes,1380
262,43.0,19.0,70.6,0.08,0,Yes,Yes,Yes,No,NA
263,16.3,71.6,33.9,16.85,0,No,No,No,No,NA
264,22.3,37.3,27.9,1.78,29,No,No,Yes,Yes,322
265,33.0,30.7,38.3,0.39,161,No,No,Yes,Yes,2034
266,28.5,32.0,53.8,1.85,0,No,No,No,No,NA
267,41.9,21.8,90.3,0.31,1536,No,Yes,Yes,Yes,1125
268,24.0,37.7,47.7,1.94,0,No,No,No,No,NA
269,31.5,18.7,73.7,1.24,0,No,No,No,No,NA
270,29.6,31.3,78.6,1.01,97,No,No,Yes,Yes,2850
271,42.3,11.7,32.0,0.11,458,No,No,Yes,Yes,2727
272,19.4,35.5,57.9,1.47,0,No,No,Yes,No,NA
273,14.2,70.6,32.1,17.38,0,No,No,No,No,NA
274,37.8,13.9,79.0,0.22,0,No,No,No,No,NA
275,7.7,88.4,18.8,35.14,0,No,No,No,No,NA
276,19.7,24.1,33.3,0.24,58,No,Yes,Yes,Yes,613
277,21.9,77.0,12.9,24.18,0,No,No,No,No,NA
278,41.3,12.5,102.0,0.25,1578,No,No,Yes,Yes,10317
279,38.2,17.5,54.5,0.79,577,No,Yes,Yes,Yes,5262
280,18.0,35.5,54.3,2.92,0,No,No,No,No,NA
281,28.5,50.9,28.9,7.76,0,No,No,No,No,NA
282,28.3,41.8,35.2,4.75,0,No,No,No,No,NA
283,32.6,18.6,80.2,0.01,2919,No,Yes,Yes,Yes,5842
284,32.1,28.7,66.4,0.65,492,No,Yes,Yes,Yes,681
285,10.6,72.3,6.9,12.47,0,No,No,No,No,NA
286,18.8,60.2,30.9,20.98,0,No,No,No,No,NA
287,19.8,60.7,7.2,16.51,0,No,No,No,No,NA
288,31.8,25.5,95.2,0.13,0,Yes,Yes,Yes,No,NA
289,19.4,73.1,20.7,4.72,0,No,No,No,No,NA
290,6.1,72.5,20.0,25.64,0,No,No,No,No,NA
291,27.9,40.0,37.6,2.36,0,No,No,No,No,NA
292,40.1,23.8,100.9,0.66,228,No,Yes,Yes,Yes,5280
293,11.4,72.8,15.0,25.79,0,No,No,No,No,NA
294,29.3,37.6,45.1,4.76,0,No,No,No,No,NA
295,39.5,30.4,40.7,0.14,533,Yes,Yes,Yes,Yes,2700
296,26.7,33.0,45.6,1.61,62,Yes,Yes,Yes,Yes,3573
297,25.6,36.7,52.2,0.26,0,No,No,No,No,NA
298,5.8,72.2,13.7,20.87,0,No,No,No,No,NA
299,16.2,72.7,22.5,4.95,0,No,No,No,No,NA
300,32.2,12.5,96.9,0.27,71,No,No,Yes,Yes,378
301,25.5,29.9,45.4,0.22,0,No,Yes,Yes,No,NA
302,26.1,22.3,54.6,0.01,0,No,Yes,Yes,No,NA
303,16.8,79.0,5.9,16.46,0,No,No,No,No,NA
304,9.2,80.4,19.4,14.49,0,No,No,No,No,NA
305,18.7,61.3,16.7,14.35,0,No,No,No,No,NA
306,38.4,30.5,52.4,0.17,189,Yes,Yes,Yes,Yes,4285
307,40.0,30.5,69.3,1.09,0,No,No,Yes,No,NA
308,35.0,13.9,80.4,0.44,202,No,Yes,Yes,Yes,7938
309,10.5,94.0,24.5,9.98,0,No,No,No,No,NA
310,16.7,83.0,19.0,18.04,0,No,No,No,No,NA
311,30.1,32.7,39.7,1.18,960,No,No,Yes,Yes,245
312,29.7,39.7,32.7,0.82,67,No,Yes,Yes,Yes,610
313,23.3,32.2,50.8,1.36,0,No,No,No,No,NA
314,26.6,33.7,61.3,1.39,144,No,No,Yes,Yes,551
315,12.5,67.5,34.6,6.83,0,No,No,No,No,NA
316,19.5,66.2,23.9,20.69,0,No,No,Yes,No,NA
317,6.7,90.6,12.4,27.06,0,No,No,No,No,NA
318,41.9,11.5,109.8,0.2,611,No,No,Yes,Yes,1673
319,28.6,33.5,57.3,1.45,202,No,Yes,Yes,Yes,1754
320,15.3,70.5,11.1,7.31,0,No,No,No,No,NA
321,33.1,14.5,55.2,0.32,645,No,Yes,Yes,Yes,1093
322,34.5,24.7,76.5,1.0,137,Yes,Yes,Yes,Yes,1974
323,34.4,30.3,80.0,1.95,149,No,No,Yes,Yes,2161
324,12.5,94.6,12.8,37.73,0,No,No,No,No,NA
325,12.7,90.2,19.0,36.99,0,No,No,No,No,NA
326,24.8,31.3,32.5,3.95,0,No,No,No,No,NA
327,32.3,10.8,53.4,0.6,140,Yes,Yes,Yes,Yes,3926
328,20.6,38.0,39.7,1.56,298,No,Yes,Yes,Yes,146
329,23.0,37.7,20.5,7.62,0,No,No,No,No,NA
330,21.7,54.4,39.3,7.47,0,Yes,Yes,Yes,No,NA
331,39.5,15.9,60.7,0.0,177,No,Yes,Yes,Yes,5097
332,20.7,31.3,62.5,0.56,0,No,No,Yes,No,NA
333,21.4,79.1,25.5,14.06,0,No,No,No,No,NA
334,35.4,12.2,34.1,0.13,700,No,Yes,Yes,Yes,3682
335,25.9,32.5,53.2,2.37,0,No,No,No,No,NA
336,7.1,71.8,21.9,15.32,0,No,No,No,No,NA
337,28.4,37.8,28.0,0.15,0,No,No,No,No,NA
338,25.9,47.3,31.9,0.73,0,No,No,Yes,No,NA
339,15.5,63.3,29.4,9.37,0,No,No,No,No,NA
340,14.7,67.0,17.1,4.09,0,No,No,No,No,NA
341,15.5,55.1,7.2,16.83,0,No,No,No,No,NA
342,25.3,23.4,34.6,0.16,0,No,Yes,Yes,No,NA
343,31.2,20.9,61.1,0.89,37,Yes,Yes,Yes,Yes,1433
344,25.9,26.9,47.1,1.94,0,No,No,No,No,NA
345,31.0,33.4,41.4,2.6,0,No,No,No,No,NA
346,31.6,22.9,74.2,0.07,1167,No,Yes,Yes,Yes,3106
347,24.7,75.2,8.2,9.62,0,No,No,No,No,NA
348,23.3,61.4,27.8,18.46,0,No,No,No,No,NA
349,28.1,42.1,40.8,2.75,16,No,No,Yes,Yes,1586
350,25.1,35.2,62.6,3.7,0,No,Yes,Yes,No,NA
351,28.8,40.3,37.9,4.79,0,No,Yes,Yes,No,NA
352,22.4,42.8,33.3,0.71,0,No,No,No,No,NA
353,20.2,51.3,25.6,2.6,0,No,No,No,No,NA
354,34.7,24.6,35.0,1.49,0,No,No,Yes,No,NA
355,25.7,23.8,33.5,3.3,0,No,No,No,No,NA
356,28.2,45.3,20.6,2.83,0,No,No,Yes,No,NA
357,18.3,23.9,58.3,3.35,511,No,Yes,Yes,Yes,1265
358,31.8,24.8,44.4,0.89,0,Yes,Yes,Yes,No,NA
359,39.7,23.8,67.1,0.39,560,No,Yes,Yes,Yes,6208
360,27.6,42.3,58.7,2.05,0,No,Yes,Yes,No,NA
361,8.3,90.1,11.1,38.85,0,No,No,No,No,NA
362,31.4,34.2,28.7,0.91,0,No,No,No,No,NA
363,19.2,30.2,51.5,3.37,7,No,No,Yes,Yes,968
364,38.3,27.2,65.7,0.71,1793,Yes,Yes,Yes,Yes,6295
365,22.8,26.4,30.6,0.1,0,No,No,Yes,No,NA
366,26.3,25.7,48.3,1.72,1017,No,No,Yes,Yes,672
367,25.1,51.9,44.4,7.07,113,Yes,Yes,Yes,Yes,582
368,26.5,39.4,22.8,7.04,0,No,No,No,No,NA
369,22.6,40.9,44.8,4.03,0,No,No,No,No,NA
370,18.9,37.8,45.0,3.47,65,Yes,Yes,Yes,Yes,774
371,28.7,39.7,30.7,3.45,21,Yes,Yes,Yes,Yes,1232
372,14.9,74.2,20.3,22.14,0,No,No,No,No,NA
373,23.2,28.6,42.2,1.91,425,No,Yes,Yes,Yes,2959
374,40.8,18.7,44.9,0.35,554,No,Yes,Yes,Yes,1599
375,35.9,20.4,81.4,0.43,527,No,Yes,Yes,Yes,4511
376,22.2,29.5,59.4,0.63,338,Yes,Yes,Yes,Yes,2710
377,18.2,74.8,11.4,5.38,0,No,Yes,Yes,No,NA
378,30.5,29.5,27.7,1.39,0,No,No,Yes,No,NA
379,14.7,75.1,14.1,21.27,0,No,No,No,No,NA
380,27.8,35.7,44.9,1.22,0,No,No,No,No,NA
381,9.7,80.2,8.2,24.18,0,No,No,No,No,NA
382,32.0,15.1,66.9,1.81,0,No,No,No,No,NA
383,24.5,74.5,6.9,15.02,0,No,No,No,No,NA
384,39.9,20.9,58.6,0.2,196,Yes,Yes,Yes,Yes,3486
385,32.1,10.4,68.8,0.16,382,No,No,Yes,Yes,2082
386,29.0,39.2,33.6,0.77,0,No,No,No,No,NA
387,16.1,72.4,6.5,18.96,0,No,No,No,No,NA
388,23.8,31.4,42.5,2.45,0,No,No,No,No,NA
389,19.8,67.2,27.2,9.93,104,No,No,Yes,Yes,12
390,20.7,39.1,59.9,2.08,0,No,No,No,No,NA
391,29.3,30.0,33.8,2.03,36,No,No,Yes,Yes,1865
392,20.1,66.7,17.4,4.98,0,No,No,No,No,NA
393,29.7,36.0,22.8,5.32,0,No,Yes,Yes,No,NA
394,29.1,25.0,52.6,1.96,0,Yes,Yes,Yes,No,NA
395,12.0,62.3,28.1,16.62,0,No,No,No,No,NA
396,13.5,81.4,11.8,33.89,0,No,No,No,No,NA
397,25.6,47.4,31.6,5.43,0,No,No,Yes,No,NA
398,5.0,78.9,17.7,33.0,0,No,No,No,No,NA
399,25.5,23.3,27.0,1.43,0,No,No,Yes,No,NA
400,6.6,91.3,9.3,33.86,0,No,No,No,No,NA
401,22.5,37.7,46.9,0.37,0,No,No,No,No,NA
402,29.5,22.7,45.0,2.12,728,No,No,Yes,Yes,2556
403,21.9,59.3,25.4,3.86,0,No,No,No,No,NA
404,25.0,42.7,49.3,7.37,0,No,No,No,No,NA
405,29.7,44.1,19.7,3.6,0,No,No,No,No,NA
406,41.0,21.0,68.8,0.74,412,Yes,Yes,Yes,Yes,5914
407,20.0,72.4,13.1,4.08,0,No,No,No,No,NA
408,29.3,34.2,52.0,3.58,0,No,No,No,No,NA
409,30.9,35.5,21.0,0.44,0,No,No,Yes,No,NA
410,24.8,72.1,8.7,3.12,0,No,No,No,No,NA
